"Chemical, Pharmacological or Therapeutic subgroup
(ATC
classification)","International Non‐proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language
(Cyrillic
alphabet)","Brand name in Ukraine Cyrillic alphabet","Brand name in Ukraine (Latin alphabet)","Manufacturer","Dosage form
in Ukrainian language (Cyrillic alphabet)","Dosage form (in English)","Information for patients in Ukrainian","Chemical, Pharmacological or Therapeutic subgroup (ATC
classification)","International Non‐ proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language (Cyrillic
alphabet)","Brand name in Ukraine (Cyrillic alphabet)","Chemical, Pharmacological or Therapeutic
subgroup
(ATC classification)","Dosage form in Ukrainian
language (Cyrillic alphabet)","Informatio n for patients in Ukrainian","Dosage form in Ukrainian language (Cyrillic
alphabet)","...1","...2","...3","...4","...5","...6","‐ 0.06 мг/0,015 мг, (жовті таблетки);
‐ плацебо (зелені
таблетки);","‐ 0.06 mg / 0.015 mg (yellow tablets);
‐ placebo (green
pills);","...9","G03AA12","Drospirenone / Ethinylestradiol","Дроспіренон /
Естрадіол","ЛІБЕРАТТІ®","LIBERATTI®","Лабораторіос Леон Фарма, С.А., Іспанія","таблетки, по 3
мг/0,02 мг;","tablets, 3 mg / 0.02 mg;","https://compendium. com.ua/info/337142/
liberatti/","G03AA16","Dienogest / Ethinylestradiol","Дієногест /
Етинілестрадіол","СИЛУЕТ®","SILUETTE®","ВАТ ""Гедеон Ріхтер"", Угорщина","таблетки, по 2
мг/0,03 мг;","tablets, 2 mg / 0.03 mg;","https://compendium. com.ua/info/200618/
siluet‐sup‐sup‐/","G03AD01","Levonorgestrel","Левоноргестрел","ЛЕРГЕСАН","LERGESUN","Сан Фармасьютикал Індастріз Лтд., Індія","таблетки, по 0,75
мг; 1,5 мг;¤","tablets, 0.75 mg; 1.5 mg;","https://compendium. com.ua/info/452740/
lergesan/","Ukrainian alphabet","Latin alphabet","Position in a word","Examples...4","Examples...5"
"R03B A01","Beclometasone","Беклометазон","БЕКЛАЗОН‐ЕКО","BECLAZONE‐ECO","Нортон (Ватерфорд) Лімітед Т/А АЙВЕКС
Фармасьютикалз Ірландія Т/А Тева Фармасьютикалз
Ірландія, Ірландія","‐ Аерозоль для інгаляцій, 100 мкг/дозу у балончиках по 200 доз у
коробці
‐ Аерозоль для інгаляцій, 250 мкг/дозу у балончиках по 200 доз у
коробці","‐ aerosol for inhalation, 100 mcg / dose in cans of 200 doses in
a box
‐ aerosol for inhalation, 250 mcg / dose in cans of 200 doses in a
box","https://compendium.com.ua/info/1
65970/beklazon‐eko/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A01","Beclometasone","Беклометазон","БЕКЛОФОРТ™ ЕВОХАЛЕР™","BECLOFORTE™ EVOHALER™","Глаксо Веллком Продакшн,
Франція","аерозоль для інгаляцій, дозований, 250 мкг/дозу, 1
балон на 200 доз","aerosol for inhalation, dosed, 250 mcg / dose, 1 cylinder on
200 doses","https://compendium.com.ua/info/1 68242/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A01","Beclometasone","Беклометазон","ГЛЕНБЕКАР","GLENBECAR","Гленмарк Фармасьютикалз ЛТД., Індія","‐ аерозоль для інгаляцій, дозований, 250 мкг/дозу; по 200 доз в
контейнері
‐ аерозоль для інгаляцій, дозований, 50 мкг/дозу; по
200 доз в контейнері","‐ aerosol for inhalation, dosed, 250 mcg / dose; 200 doses in a
container
‐ aerosol for inhalation, dosed, 50 mcg / dose; 200 doses in a
container","https://mozdocs.kiev.ua/likiview.ph p?id=48282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A02","Budesonide","Будесонід","БЕНОДИЛ","BUDESONIDE","Фармацевтичний завод ""ПОЛЬФАРМА""
С.А., Польща","‐ суспензія для розпилення, 0,25 мг/1 мл по 2 мл у
контейнері;
‐ суспензія для розпилення, 0,5 мг/1 мл по 2 мл у
контейнері","‐ suspension for spraying, 0.25 mg / 1 ml of 2 ml in a
container;
‐ suspension for spraying, 0.5 mg / 1 ml of 2 ml in a
container","https://compendium.com.ua/info/3 54717/benodil/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A02","Budesonide","Будесонід","БУДЕСОНІД‐ІНТЕЛІ","BUDESONID‐INTELI","Лабораторіо Альдо‐Юніон, С.А., Іспанія","‐ інгаляція під тиском, суспензія, 200 мкг/доза, по 200 доз (10
мл) в балоні;
‐ інгаляція під тиском, суспензія, 50 мкг/доза, по
200 доз (10 мл) в балоні;","‐ inhalation under pressure, suspension, 200 μg / dose, 200 doses
(10 ml) in a cylinder;
‐ inhalation under pressure, suspension, 50 μg / dose, 200
doses (10 ml) in a cylinder;","https://compendium.com.ua/info/2 00281/161313/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A02","Budesonide","Будесонід","БУДЕСОНІД‐ІНТЕЛІ НЕБ","BUDESONID‐INTELI NEB","ГЕНЕТІК С.П.А.","‐ суспензія для розпилення 0,25 мг/мл, по 2 мл в однодозовому
контейнері,
‐ суспензія для розпилення
0,50 мг/мл, по 2 мл в
однодозовому контейнері,","‐ suspension for spraying 0.25 mg / ml, 2 ml in a single‐dose
container,
‐ suspension for spraying 0.50 mg / ml, 2 ml in a single‐dose
container,","https://compendium.com.ua/info/3 55884/539377/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A02","Budesonide","Будесонід","БУДІКСОН НЕБ","BUDIXON NEB","ГЕНЕТІК С.П.А.","‐ суспензія для розпилення по 0,5 мг/мл; по 2 мл у
контейнері;
‐ суспензія для розпилення по 0,125 мг/мл; по 2 мл у
контейнері;","‐ suspension for spraying at
0.5 mg / ml; 2 ml in a container;
‐ suspension for spraying at
0.125 mg / ml; 2 ml in a
container;","https://compendium.com.ua/info/3
57923/budikson‐neb/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A02","Budesonide","Будесонід","НОВОПУЛЬМОН Е НОВОЛАЙЗЕР®","NOVOPULMON® Е
NOVOLIZER®","МЕДА Фарма ГмбХ енд Ко. КГ (випуск серії)","порошок для інгаляцій дозований, 200 мкг/дозу, по 2,18 г порошку
(200 доз) у
картриджі;","powder for inhalation dosed, 200 mcg / dose, 2.18 g of powder
(200 doses) in the
cartridge;","https://compendium.com.ua/info/2
00079/novopul_mon‐e‐novolajzer‐ sup‐sup‐/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A02","Budesonide","Будесонід","ПУЛЬМІКОРТ ТУРБУХАЛЕР","PULMICORT® TURBU HALER®","АстраЗенека АБ, Швеція","‐ порошок для інгаляцій, 100 мкг/доза по 200 доз у
інгаляторі,
‐ порошок для інгаляцій, 200
мкг/доза по 100 доз у
інгаляторі,","‐ powder for inhalation, 100 mcg / dose of 200 doses in the
inhaler,
‐ powder for inhalation, 200 mcg / dose of 100 doses in the
inhaler,","https://compendium.com.ua/info/1
72306/pul_mikort‐turbukhaler/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C04","Fenoterol","Фенотерол","БЕРОВЕНТ‐МФ","BEROVENT‐MF","ТОВ ""Мікрофарм"",
м.Харків, Україна","‐ аерозоль для інгаляцій дозований, 200 мкг/дозу по 15 мл (300
доз) у металевому балоні;
‐ аерозоль для інгаляцій, дозований, 100 мкг/дозу по 15 мл (300 доз)
у
металевому балоні","‐ aerosol for inhalation dosed, 200 mcg / dose of 15 ml (300
doses) in a metal canister;
‐ aerosol for inhalation, dosed, 100 mcg / dose of 15 ml (300 doses)
in a metal canister","https://mozdocs.kiev.ua/likiview.ph p?id=28916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C04","Fenoterol","Фенотерол","БЕРОТЕК® Н","BEROTEC® N","Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ,
Нiмеччина","аерозоль дозований, 100
мкг/дозу, по 10 мл (200 доз) у металевому балончику","aerosol dosed, 100 mcg / dose, 10 ml (200 doses) in a metal
canister","https://compendium.com.ua/info/1
39479/berotek‐sup‐sup‐h/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A L01","Fenoterol / Ipratropium
bromide","Фенотерол /
Іпратропію
бромід","БЕРОДУАЛ®","BERODUAL®","Істітуто де Анжелі С.р.л., Італія","розчин для інгаляцій; по 20
мл або по 40 мл у флаконі;","solution for inhalation; 20 ml or 40 ml in a bottle;","https://compendium.com.ua/info/3 1984/17794/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A L01","Fenoterol / Ipratropium bromide","Фенотерол / Іпратропію бромід","БЕРОДУАЛ ® Н","BERODUAL® N","Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ,
Нiмеччина","Аерозоль дозований по 10 мл (200 доз) у металевому балончику №
1","aerosol dosed in 10 ml (200 doses) in a metal can № 1","https://compendium.com.ua/info/1 66071/38166/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
